photo_id,business_id,caption,label,caption_clean,has_caption
cOApXKT-Jtl_Fn2BCgi9Jw,Zi-F-YvyVOK0k5QD7lrLOg,,food,,False
fmoyZJGY8sCPm81UuoY9bg,98mYebjHN_VXZapVm8Nmqg,Salmon and roasted veggies.,food,Salmon and roasted veggies.,True
0zLY5kNpmg1FAxKQZ2L9HA,VQcCL9PiNL_wkGf-uF3fjg,,food,,False
uhpb-wJkwxjuvueqigCMEg,ac1AeYqs8Z4_e2X5M3if2A,,inside,,False
WNNj8bxLMk7aKIFVTqs58Q,-s6EMVPCBrsocFDuiMMqxQ,,inside,,False
kX4trYNaiRxsFJcEDY0g4w,ac1AeYqs8Z4_e2X5M3if2A,Dining area,outside,Dining area,True
zFD4SZB_EnKevA89GDw9uQ,yexVj09OH5n_X-MT_Lq5rg,,food,,False
svcEHd0CN-Rfhxm6o-s_qQ,4LrEs997FOYEGmmBUUeqRA,Hamburguesa Torta,food,Hamburguesa Torta,True
eV2G7z9L0ozefj3xk528XA,H5KRna9A6mDQEJ2ZN0zL6g,Chocolate profiterole,food,Chocolate profiterole,True
6Aksi6ZeUV3SSv5HNAtxgA,XkQadWW9bUR855KvPZBNUw,,inside,,False
XHP2zF4SGxXQZWMCd76zNw,AZJpX5slpbZUTU9INbwu0g,,inside,,False
gUlJhjms3KfkYMdatHs-yQ,UGefDZNmnBztS0eoXWtHyQ,Great dining on the patio,inside,Great dining on the patio,True
iTetfVP3NobIqmrjFF0f5Q,v77_hh7gsbpSpjlzSKeq5w,BABES at One Eyed Jacks,outside,BABES at One Eyed Jacks,True
Ms0frJ_xZNKuNSklhyHpXA,9MWtHrYUrEJkAJ06gAdp1A,Oh the state bird,outside,Oh the state bird,True
No0EexwKZLw6CWXjx0yE8g,fpi78UyYCZ-RSoibWc-NDg,Vegan Taco Platter Dinner,food,Vegan Taco Platter Dinner,True
XefgZ3ooip9LW9n4Dk5VAA,OPW8NuOC_9FVFXsaHOO5JA,Monte Cristo,food,Monte Cristo,True
ImJl5NtsGKMero5KGIY7-w,ku8cAVBLaF_4rI-yK6gNnQ,Bar section,inside,Bar section,True
5TSMSpNkWOcOpUpsfJcdaQ,8cAukVubDMi10NTrkXMGKg,"Black bean burger with fries, DELICIOUS!",food,"Black bean burger with fries, DELICIOUS!",True
vQ8k3ElYyVOAyYPubMHqKw,X7W01ESZV0UybJ859ZnWRQ,,food,,False
4_BsE22B1-5EcwlaB6OrAQ,OAjof8dhS2zScmZh2Xuo1A,Salad bar,food,Salad bar,True
UQWEbSQJBTxXb8wal5mBhw,hdsSqJ6XotB8LUyWjM0LKQ,Vegan sushirrito I built,food,Vegan sushirrito I built,True
UxEpFsUj7JwJSyk9-0--4w,3db1R99-mdSvx3QwryJSNQ,Chocolate pecan pie a la mode. Delicious!,food,Chocolate pecan pie a la mode. Delicious!,True
RsW5i8Fp3a4l3sFHSKcHjg,I6L0Zxi5Ww0zEWSAVgngeQ,,drink,,False
oDWP0uyQtpCTsOYNQ1txLA,FNsMxoaTa-HCbAxP0Baj9Q,,food,,False
xMpGLREMn7qDowa-2p_nNg,Xjp2aV-s4peSgr7rKOftFQ,"Adelaide Event Room, available for private parties",inside,"Adelaide Event Room, available for private parties",True
qATlH6q8MxB4IaTAKSP2nA,ga7jZd-JccpMqdSTgY2lUA,Pork knuckles,food,Pork knuckles,True
xmGOrnF4jnQ_LIDX-29nOw,qclZoDz3sjT7v5xOSj5P2Q,,outside,,False
Ao2tMACVxX2ArKeR39vxTA,pz9NQ_ItX1Vsy-vbSJuf_w,"Ordered @ 1a, made it to the hotel in under an hour. Arrived HOT & Delicious!!! The Ranch Dipping Sauce was homemade too. A+++",food,"Ordered @ 1a, made it to the hotel in under an hour. Arrived HOT & Delicious!!! The Ranch Dipping Sauce was homemade too. A+++",True
B-jPcA5S8VuseoF13Z53Sg,Y1FU2s1OytJGdXksraIGFw,Everyone at this table loved the food here at Wayfare!,inside,Everyone at this table loved the food here at Wayfare!,True
mZPSRA5K4_NZBYDdOOi7Xg,YUDcLokFMZOtyWAmVY3jwA,Loaded Twice Baked Mash,food,Loaded Twice Baked Mash,True
y3nGjDZ0KpG6sltHpDoR8g,NHdE_ObFj7OjQBB3jjqBNQ,Lula's Mardi Graus parade hangout.  My first Mardi Graus!,inside,Lula's Mardi Graus parade hangout.  My first Mardi Graus!,True
iawYFpCV1D7Zl7BcE1I11w,JvawJ9bSr22xn4R9oLvl_w,Dozen Raw,food,Dozen Raw,True
0ltQFHUIWrSQnXCB7x5B5A,sXSUzImYOcRRI3xtG2M85g,,inside,,False
nhvGvLxXGP9NOtZ_nI5rFg,GBTPC53ZrG1ZBY3DT8Mbcw,,food,,False
CvN-NyOCFJa-9uN--VX8WA,EagkHaaC-kUozD3MPzbRIw,,food,,False
s0F5S45x5In2fKqaynZ5Ww,lZ88MntSXZXDvpZAcXgiAg,Honey and Macdamien Nut Velvet Ice,drink,Honey and Macdamien Nut Velvet Ice,True
fCxfbS11rnaqxVjBElpeXA,J5wx3AY-jkOqt4sTDq2uGQ,,inside,,False
79PEoBWjxBLT-2PBwc40-w,iMPv0HqHFbBYs2lEW4_Acw,Shrimp and grits,food,Shrimp and grits,True
aaqSozaetRhz-OZPd3xONg,jar_5KMQZtgOseRdUN3L0w,Macarons!,food,Macarons!,True
j4WSMPwn5VESWkUw-aU_fw,6dMQTOH8Efl6m2eJRgIjCw,Dinning area,inside,Dinning area,True
HaPwBBriIz9M3RNLLOF4Ug,0uxg3_noVCE78Wgjb8DSyA,,food,,False
sgddccB5hDucQ7CyC6198Q,_ab50qdWOk0DdB6XOrBitw,Half Po - boy & Cup Of Soup Or Gumbo Shrimp po' boy with chicken & sausage gumbo PLENTY of food,food,Half Po - boy & Cup Of Soup Or Gumbo Shrimp po' boy with chicken & sausage gumbo PLENTY of food,True
5xYX7HFiDZoUbBaMGjywxg,VfgEzpaIHpq4sR2s2P6o5w,,inside,,False
0ZcIxzqNIuGX3bEQrjlq1g,95tAFc8hVfzVr0uRJuDbaw,Junior's busted loose Scampering 'round Walmart aisles I was here Bitches!  #NOLA_Haiku #Walmart #JailBreak #BornToRun #ChefMenteur,inside,Junior's busted loose Scampering 'round Walmart aisles I was here Bitches!  #NOLA_Haiku #Walmart #JailBreak #BornToRun #ChefMenteur,True
y0f8UN1OIOz3FQHJpZBNSA,Ssur8TPCIZWnZeCDQ9avQQ,,outside,,False
JIAUUqLZ-mcvAnPIcdnhMA,WzEzUDTWr4UQSQykujMwyg,The Calypso out on the balcony,drink,The Calypso out on the balcony,True
dndvH3XTSSEeY5OZPVjcZQ,sCNdu_Anatq1BKuXD86A8A,Voodoo Juice from The Crazy Lobster,outside,Voodoo Juice from The Crazy Lobster,True
b9hr0mM3tL4t_i_XX0-g7g,eKgtzwzbLR44fqevm6yUSQ,Window alcove seating area.,inside,Window alcove seating area.,True
_u1Bb8uFdHvuMIujh2VIJg,aYTy7BprrbZ2uvsqPHanZg,This pork chop though!,food,This pork chop though!,True
nwbBHkWUwumSBcJfOCY0Mg,0bFgBWMmCTXwGT932s6z2A,,drink,,False
WaimJ_pR6bEGMv-VUqXWTw,Ssur8TPCIZWnZeCDQ9avQQ,Shrimp Enbrochette,food,Shrimp Enbrochette,True
czRbJW-_LY5j250ECOHe2Q,fmWgbWRcbJw-yRCK3USnvA,,food,,False
WXYPxxRhPxbv42BdgGIl1A,gTC8IQ_i8zXytWSly3Ttvg,,inside,,False
X30iKUTq-HaABhdrcK0kEA,e5fCI12X_GLCST668S4ROA,,outside,,False
X4QH4jZm8Btha8t4iYkZyw,VQcCL9PiNL_wkGf-uF3fjg,Balcony view,outside,Balcony view,True
C7rJXnJd_pLBIkXFWyEqjA,Tf_Oj8uWRvXmqkEmntzTdA,"Scallop Tartare with Pickled Butternut Squash, Yogurt & Crispy Sweet Potato",food,"Scallop Tartare with Pickled Butternut Squash, Yogurt & Crispy Sweet Potato",True
aSIlSxHFmlBIIUVWrsCC0A,tyfAxYsomnzygfyeZxbL_Q,,outside,,False
Nr8lNXO11Bpb9Y5bHZJbtw,RvTHIKHaPVVp8S9cihpi5w,,inside,,False
Fuavws-gCdPzEqNIlUpVag,g7uv5VJ645cCh0ofch6KTQ,,food,,False
DD5m2K3qFmRbDqAbpOn8DA,ZLrqw4KCwKyBlVqycUfNbg,,food,,False
Lf3rp81AE8-ubfpWamVoKg,uR7G8I4Cef9D9R340TN24Q,,food,,False
Y9Jv5MqbZoNH97nqcAQVyg,7fSehNL4pBJ26FOeLqPj1g,,food,,False
YVkvpBgGc-jaT9eyvde7qw,_-otZU2dbPrEZyaVSMmvDg,Courtyard in the back :-),inside,Courtyard in the back :-),True
3ij5QrUGn65LRmtumU92Bg,mAgjr6kjRqCFk8JWPvobuw,This brother got soul!,inside,This brother got soul!,True
lbog9mdCmdRra1D_9UrJLw,7CRox7xpb3vNCEe7FZ6zgA,Cutest place!,inside,Cutest place!,True
sIJEFxAf37iB1Qk2TdTtaw,fIBMKVl-dyb3KyM11UBJPQ,Down the Hatch,drink,Down the Hatch,True
1HxprunLvv_i77Yve166lg,e-fXMT8R3j7BKMTh8xn8aw,Small n Quait,inside,Small n Quait,True
1t36q9_yBE35-Jr5Tc6YUg,gTC8IQ_i8zXytWSly3Ttvg,,inside,,False
oRCvUm4FyW16by6cafQ4Yg,Q1hBOIqr_p6MRnMLawz6cA,Citrus Skinny Margarita,drink,Citrus Skinny Margarita,True
PgCTo4H_yjosShW-D6B16A,Xh08NmHdB86LexgXrIxr2Q,Catfish sandwich and amazing Mac n cheese!!!,food,Catfish sandwich and amazing Mac n cheese!!!,True
ZJROCViopdw2JJsGTPIjlg,uL4jKuA41fQ-AUFBUUcrww,Roasted eggplant casserole,food,Roasted eggplant casserole,True
TibYVpO5ieU4qdsHFuImKg,dhpJibgYRM_0cGqvynrQeg,,inside,,False
PaEvKLE8d2pLewCQGc8gKQ,FlyfDPS41F8R9f5KHA8g2Q,,inside,,False
tSPlz1jjbNZ84Xakl32qUw,QVGHZ_gV-0fO8GeHnNK17A,,inside,,False
FarxSEeGUEoBzsEATje_zg,ZY2feSm2sc5nTXYHnKpMGQ,Happy Hour is 4-6pm Monda-Friday!,drink,Happy Hour is 4-6pm Monda-Friday!,True
kf37UvfA6XTMV3xD3VD5_g,6a4gLLFSgr-Q6CZXDLzBGQ,,outside,,False
Wc8wPL2xwPj7y1MHvGpXvQ,fKAxmycMFwO9qWVUAOQzOw,My daughter and I enjoy G's Pizza as it tastes so good - her half is the cheese side :),food,My daughter and I enjoy G's Pizza as it tastes so good - her half is the cheese side :),True
TE-OGDe7N9oF73F9OaVvlg,8JEVqaKFy6BNsNIhCnnAmA,,outside,,False
EjqX06gDScWNNifonwGGjA,6Y61FisC5lEVxLEaMzyUUQ,Cherry Blossom roll,food,Cherry Blossom roll,True
QJ6KJOdiHbZacJ7qBTwqLw,Qkiz7nFYML7sJBFPO7pNaw,Salmon and Grits,food,Salmon and Grits,True
pvGBisnZMH6ZYcEA-8hDtg,Zi-F-YvyVOK0k5QD7lrLOg,,inside,,False
c8sbR8rfHbF3hzsHzEo3tg,Dd5Spj9DJiXydAy9N3mM5g,,food,,False
-eaZAODxMdqyohMWX8q5aw,8uF-bhJFgT4Tn6DTb27viA,Perfect balance of sweetness! Best donuts!,food,Perfect balance of sweetness! Best donuts!,True
NqpLGnmEypRSTxf-gQbiYw,9HvjjSwxxubIhG6E_sObfQ,,inside,,False
J_RvPZ8xgQcvl0tKhHu7kA,XhGLpXHdnA481n0aHDdkpQ,,inside,,False
XNYEHEXhOC722pOVqrhyBw,ac1AeYqs8Z4_e2X5M3if2A,Sazarac,drink,Sazarac,True
5NmbYjnTG5sklg3TcpmkSw,XnQ84ylyAZwh-XfHGGNBbQ,Mike and I back at Coop's Place!!,inside,Mike and I back at Coop's Place!!,True
h8qXiB4HH217Xyg0Ujd9PQ,6Ty-KKWq6hLZYW8DWEHYvg,The infamous Hurricane,food,The infamous Hurricane,True
k2c835pDIYRM3_o4ahKyNQ,R9TBf8VqGQ83kvdIxkC9RQ,,outside,,False
Yo6Hp6DTKXWDc7z7AZ8ubg,HhD8DLES5ZeULKDXmfkOOg,Pour your own taps at the table,inside,Pour your own taps at the table,True
-124H3p_9ThP3gNIWeCosQ,TdyHRkxn334JxtUSdGpIiw,Mural on the back room,inside,Mural on the back room,True
h9XTasy9p4zcWGKi-mVvPw,g04aAvgol7IW8buqSbT4xA,Amazing breakfast and such a great friendly service (as you can see in the picture). Thank you!,inside,Amazing breakfast and such a great friendly service (as you can see in the picture). Thank you!,True
LSpuYbbx4SSQAvF9DOAO6Q,FCCnOgjjvwQJBAy3u2fcLA,Inside,inside,Inside,True
zZWM8U3OA4a1XfJYB0h3gw,gTC8IQ_i8zXytWSly3Ttvg,Gambino with House Meats + Herb Vinaigrette,food,Gambino with House Meats + Herb Vinaigrette,True
y67Hcqero7TIN4CO-lu70Q,CG1Bb2MTraJYTHCPFm72XA,Soups to warm you up!,food,Soups to warm you up!,True
bhJeyATEMEInd8SJMiVxqA,oe-iacnzvyHV8zxaNqCf7A,Chargrilled Oysters,food,Chargrilled Oysters,True
LmBwHTZ9ZoLYMdByft84sQ,aROhaLh-dqtt-h6BG-gn2w,,food,,False
PCupVy1J8TjyUDD-bWmZ1A,3nYIq4THGUOgQCAF-mkd7w,,inside,,False
HMId4gsOxdZZMc5J6Y4-HA,QQPX7PodskbBcMl2Dwm3Sw,,drink,,False
wA8vqGlsfFo0WL71vZEB8A,hfbZ97Te3T4jeWN6GgsGrQ,Summer Hash,food,Summer Hash,True
LMnG_rX6C5mRWCx4QgWfDw,FEXhWNCMkv22qG04E83Qjg,,food,,False
MbFTGz943wd62g8xkSgRmw,M-6AXSgmDMYcWsF442mzzA,Outside,outside,Outside,True
UGpMMYDwr0GP3xuxZXRBKg,Trbe4JX-oLHrrVVPcv0wog,Shrimp and Crab Benedict,food,Shrimp and Crab Benedict,True
879lVxzDt8KUnqm1_eb2PQ,6a4gLLFSgr-Q6CZXDLzBGQ,"Fried Alligator, nicely spiced :)",food,"Fried Alligator, nicely spiced :)",True
GnIIicadT6QvNxz4aWT-5Q,6Y61FisC5lEVxLEaMzyUUQ,Crawfish Roll,food,Crawfish Roll,True
gfWKP65ZB_3l5a_wR5TxaA,i6YvzoCYT6vCxBxqD7nR-g,One of the best Aviations I have ever had.,drink,One of the best Aviations I have ever had.,True
3AYd-wbbMdWUf9tev8QCnQ,FxyGTyC98dVsVMhPiHXyOQ,,outside,,False
7lcxYhdeiUfemJtT9a_1jg,otlORLZ8uZM3_orBFl2z7w,Delicious daiquiri in an awesome goblet,drink,Delicious daiquiri in an awesome goblet,True
YGTPMq40nuk0tpVNQR4wAQ,75FY8ZQx5nOWP0VFmNvWfw,This is probably the one thousandth picture of the shrimp and grits,food,This is probably the one thousandth picture of the shrimp and grits,True
euKd_2dCAJE54-okH4zslA,GoGss2SqsUPwP0xcI9IUuw,Ttny macaroons - delicious!,food,Ttny macaroons - delicious!,True
uqF5GpKGHey8WUYCV7cGbQ,DH_aRlDhnzsJTh1ffWwt_Q,Avocado Salad,food,Avocado Salad,True
MK8DQW_Z700zoM0gaTi_3w,kRG2ZrCT5RvwD2tajVnpjA,,inside,,False
tihH8axRQ4TZNEeH-0GUVg,tJhIqLwZnbBl5FKIChEIQA,"""Private"" table",inside,"""Private"" table",True
4MnOYUdcfqZF2PxVkLscaw,gnXN6LuSC3IoMCOtRl8sQw,"Darling Nikki: Fried Eggplant, Sautéed Onion., Roasted Red Pepper, Cabbage and Caraway Seed, Melted Horseradish Cheddar on Toasted Rye",food,"Darling Nikki: Fried Eggplant, Sautéed Onion., Roasted Red Pepper, Cabbage and Caraway Seed, Melted Horseradish Cheddar on Toasted Rye",True
ef-ZAQAX2vo2JC0VbupJ6A,ta5Oi3sezvn4H299MbtE8Q,,drink,,False
qeRE66mxCQ7JcbIRpYY_Hw,W7Lkjxnd189PpBYJniF9Ig,Shrimp salad with basil vinaigrette,food,Shrimp salad with basil vinaigrette,True
VlHeb-Ic3iiQGR0BuvTUhQ,0wZJkj-OnZ7Pmublspl7tA,,food,,False
lyvQ3W39ZXb8stmY376XrQ,FyDQ8QKKjmBKagZ2GhNb8Q,Pour over.,drink,Pour over.,True
bnWobMKcq9PSIMKLpGZW0g,VQcCL9PiNL_wkGf-uF3fjg,,food,,False
eZomz_FeClyFwnQBCLfg5A,QQPX7PodskbBcMl2Dwm3Sw,Taylor-Larson wedding,food,Taylor-Larson wedding,True
2yru-JvAHwHGfp-pTuuAJg,nm95sB96pSpWEh3GWvwOQg,I come here to escape crowds and use bathrooms. That's what I call lucky. Thanks Pierre,inside,I come here to escape crowds and use bathrooms. That's what I call lucky. Thanks Pierre,True
MqJEylEyZNmP01IEt2gEsA,PcAMh9bjVHVB2dscm1F4FQ,,inside,,False
eqR8CQJOyJDlkR7CUCjWfA,rvF-BwyaCHeb30u3Xf7FbQ,,inside,,False
i2i1Z2m4Z4bD6hmZv0Ut2A,EagkHaaC-kUozD3MPzbRIw,,inside,,False
kcYoZ_W-Fe1cfy0aLGBgWQ,ecI3FBTM0f99Fnml3kNKfg,Main Dining Room,inside,Main Dining Room,True
8b3WVunuieT4SjfYXI8KqQ,FEXhWNCMkv22qG04E83Qjg,,inside,,False
gRTxOunM7-wqcU3XBfrScg,WzEzUDTWr4UQSQykujMwyg,"Foie Gras:  Roasted caraway ""gravel"", with blueberry bourbon balsamic and pickled blueberries",food,"Foie Gras:  Roasted caraway ""gravel"", with blueberry bourbon balsamic and pickled blueberries",True
xtZBhrbg5SZD8DtyCMsnuA,rAMlyZQe5eFrdLRVQfY4ZQ,The Reuben,food,The Reuben,True
fI4fXJZBYO2itBGl9o-U7w,Bj7DL3SwmYHZYqPduAsa2w,Shrimp po boy,food,Shrimp po boy,True
bCBpSMkdnuQo8782XblRog,YrCOY3MmbmLKRJLblmSEgw,,inside,,False
Qvho_fR1gvMYj12kD-DBbA,iwmW2mgcn2YdirXUHCsgXQ,New Bourbon House Bar at the Historical New Orleans Bourbon Society,inside,New Bourbon House Bar at the Historical New Orleans Bourbon Society,True
arvh0BONQ6pyqx98zVTk7A,u537LRjJmHI4eqMARsP9ng,,inside,,False
G5VmHppICYOeJcqFnueP8Q,dGeXdSMah56gEHwZNaRQKA,Flying Enchiladas,food,Flying Enchiladas,True
6tt6F2E2nmYZD7KBox-Zkg,ChlcxTEoWBQJXJ2Xb2vm5g,braised pork shank,food,braised pork shank,True
ZAAkTPhVMt4rqkYMGaMoZA,VQcCL9PiNL_wkGf-uF3fjg,,outside,,False
v8Z6UTMhcgAo7vod0pwZ7A,wtwDcp79klLOLaIjCFHQCA,Chicken lasooni,food,Chicken lasooni,True
3gPlYVIwsWp2C3QeOOxDXQ,Exh1uNhTSDR1hGivZBIylA,Management kindly honored our request to move to a quieter corner of the restaurant,inside,Management kindly honored our request to move to a quieter corner of the restaurant,True
QaOrPrGjF9pWjie7dBVzmQ,k82r04xQpJ7u9Db_aHRJpQ,Clean bathroom,inside,Clean bathroom,True
OCtqH6tvRMmdAFfPe-swqw,-y05MW4mCci-eSv2yJkzzQ,,food,,False
tk4Z6hT1jjNK4US23Jc_Og,xfY46Z-nBtX6sZQLxrdxhQ,,food,,False
