user_id,review_count,yelping_since,useful,funny,cool,elite,fans,average_stars
ACkFmmPuBT6rsJ_yxA1DaQ,72,2009-03-06 04:22:00,79,35,38,,7,3.95
sHwBXS0trP0CC_f5K_11VA,823,2009-07-09 21:44:43,2913,2196,2342,"2010,2011,2012,2013,2014,2015",83,3.77
lNPRvk3WRgsJb-UEJ0J40g,72,2008-03-21 16:50:15,151,141,139,2009,7,4.07
ITa3vh5ERI90G_WP4SmGUQ,3193,2008-05-06 01:30:13,45810,48231,35149,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",2388,4.01
582iTyqKkoHeBFPMJuQEJw,319,2006-12-21 03:58:10,667,425,437,"2007,2008,2009,2010,2011,2012,2013,2014",29,3.88
2Od6rQYNvPUXQC2Go7vIqg,986,2007-08-22 17:13:14,628,105,223,"2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",21,3.63
YMgZqBUAddmFErxLtCfK_w,1985,2009-03-16 23:41:53,6485,2438,4159,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",186,3.65
0kSXMbNFo7mdwTPj4iQv9A,1022,2008-11-25 08:46:24,13103,14383,11590,"2009,2010",319,2.98
JC99U5y-KAchZIjBhf_DiQ,1186,2009-10-21 03:23:04,1023,419,533,"2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",45,3.67
h8pthOnqCxV94D8-JkZXCQ,793,2010-08-17 03:31:03,3259,1893,2394,"2011,2012,2013,2014,2015,2016,2017,2018,2019",127,3.85
QWxW_pApmpY9iPApC8P-UQ,1306,2007-10-19 16:38:24,3110,1614,1714,"2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",80,3.6
AW0tVcfwYZBiwtwYyaX0WA,307,2009-01-08 23:55:17,582,142,300,"2010,2011,2012,2013,2014,2015,2016",25,3.64
tXhscxwFTd-ayLTdPx_2yA,1712,2008-11-15 19:55:50,1445,421,603,"2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",53,3.44
bRA9ZC-bw74iEgx0iJp1bw,399,2011-02-15 17:01:33,807,243,355,"2012,2013,2014,2015,2016,2017,2018",44,3.81
g1cwG-9BWx5HvlrKPIbs9w,379,2009-04-02 14:43:24,1766,993,1319,"2010,2011,2012,2013,2014,2015,2016",76,4.22
-uybOghOlhc_UHEZvkyShQ,780,2006-08-25 19:09:20,1735,515,473,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",51,3.42
rh2Fyv5A0EBjnWxZC2RRHQ,32,2010-11-03 17:28:08,74,6,38,2011,4,4.22
KoqcznJYIXg19nzl286xOw,36,2011-04-05 03:14:06,50,9,9,,4,3.81
fxqvyXlml4400BglsxRG_w,362,2010-01-10 22:31:48,896,596,522,"2011,2012,2013,2014,2015",38,3.65
aIFbo8WaP6SCuOFnj_v9kA,514,2007-12-23 04:26:43,664,156,156,,25,3.43
MUzkXfPS9JaMgJ907orz0g,752,2009-01-29 03:48:53,2272,809,902,"2010,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",90,4.16
v9VCObZVWhOPdm1rKt8Dvg,258,2010-06-05 16:44:22,1605,762,1169,"2011,2012,2013,2014,2015,2016,2017",40,3.87
drui1iMt-TPzJiSkQp5CtA,212,2007-08-02 21:41:41,625,200,262,"2010,2011,2012,2013,2014,2015,2016",35,4.15
hHDltEEGlvuhRjDvfbYpqg,1228,2007-05-05 04:11:31,3054,969,1627,"2007,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",77,3.54
_XrNNcEbNnut2Q4Py-LfKg,443,2010-01-03 00:32:29,1156,609,610,"2010,2011,2012",18,3.65
BgZwJBhVWKq1Urs4rKBdiA,1545,2008-01-31 01:39:24,6087,3991,3487,"2008,2009,2010",83,3.5100000000000002
vc1cikaZWIS2J9JY7IAWFA,32,2008-12-03 22:59:21,76,28,42,,0,4.12
Ve0LUwcrzxL7w0RYgY4Aaw,1987,2008-08-22 16:38:41,28015,13474,22933,"2009,2010,2011,2012,2013,2014,2015,2016",1118,4.2
VWgWJiG462Ytm_rWMRxHiA,205,2008-08-28 04:54:52,310,70,60,"2019,20,20,2021",8,3.05
m07sy7eLtOjVdZ8oN9JKag,5800,2006-07-22 01:22:26,73528,52593,62742,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",2251,3.71
pPvsrGX78-vP6IctzU1-oQ,70,2009-08-22 00:49:44,67,11,11,,2,3.95
Et79VAN692zD2j32PM1E8w,404,2010-04-28 22:21:13,753,217,313,"2010,2011,2012,2013,2014,2015,2017",42,3.66
5kMii2JySygayQpyPBjqCA,1808,2010-06-19 23:11:53,3172,984,1964,"2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",94,3.82
7LmJ87EijrHcoYRu9WgoHg,1050,2007-01-24 13:08:53,3788,1704,2925,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",117,3.18
Js4nQlGRjS1Bd5vsAQQfgA,396,2008-03-31 01:11:13,1289,337,681,"2009,2010,2011,2012,2013,2014,2015,2016,2017",44,4.43
xnpzE2wbif4dZjN0NMhi5g,70,2007-09-24 10:27:56,197,34,86,2011,7,4.61
qgrRS9CS8XY-NmoktttIvg,37,2010-03-27 01:53:51,117,11,32,,2,3.85
8TYNR25ifvwrwYcyKNx1BQ,408,2009-04-29 01:17:41,1078,244,338,"2013,2014,2015,2016,2017,2018,2019,20,20,2021",25,3.86
Tk_FWXueutKii3f9yJFsdw,359,2008-01-25 03:53:32,538,147,293,"2008,2009,2010,2011",33,3.79
h7qNmqTAIc05zNtIpmlDJQ,461,2009-03-18 14:30:30,2063,1153,1574,"2009,2010,2011,2012,2013,2014,2015",56,3.88
XpVUWxVoNp75aZHusk9T8g,280,2010-01-13 04:57:28,343,80,179,"2012,2013,2014,2015,2016",22,3.88
7PHHxsjyk7I7oM6ENxwZZQ,1095,2010-11-14 07:23:07,3253,1796,2326,"2016,2017,2018,2019,20,20,2021",107,4.48
B_T4fv0GlGcZLDpchBX-0g,650,2010-03-11 20:35:51,1233,583,723,"2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",92,3.91
az7_up1dApMJhNrOzqUfOQ,16,2010-11-27 03:23:38,26,1,5,,2,4.13
6YysBedbKp3TQ_Py8tmcMQ,107,2010-07-28 06:06:20,156,30,52,"2013,2014",8,4.03
2XKlUjHGk9z-2ckFMcBEHw,731,2012-05-06 16:17:55,1914,616,1010,"2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",136,3.95
fHS0bQ-l5rHME_xXKQSYXQ,1401,2007-03-19 18:19:11,7875,3954,6616,"2007,2008,2009,2010,2011,2012",383,3.95
XpnMUYT2HDuUB7ycRtw2ew,146,2008-10-29 22:37:55,189,59,78,"2014,2015",18,4.39
36LgEtwt6ROhrCtuPjfRmQ,385,2007-01-11 17:17:08,756,199,479,"2007,2008,2009,2010,2011",42,3.83
tpE7zlJPsfO14024i1d9aw,24,2011-01-10 01:44:02,25,5,7,,0,3.3
VRw00O-WCrVHaGTk1Jk6Cg,694,2010-02-05 06:49:26,1144,242,399,"2012,2013,2014,2015,2016,2017,2018",61,4.13
pYoKc9NfstkvwR1ZBAuGPw,394,2009-06-02 23:04:20,547,125,121,"2009,2010,2011,2012,2013,2014,2015",15,3.93
AsUvXYx9ZVn3IMJmAIwhYw,694,2011-03-25 04:59:16,5244,2432,3852,"2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",263,3.89
-tnodf38uCXjogMhZtcWxw,453,2008-08-26 14:24:16,384,106,126,,7,3.33
CQUDh80m48xnzUkx-X5NAw,4216,2008-12-29 21:03:01,21170,8938,14728,"2009,2010,2011,2012,2013,2014",579,3.91
yCyYKXclouR94TnpRLBGRQ,214,2008-10-20 20:07:38,515,118,162,"2010,2011,2012,2013,2014",13,3.82
M9puGD3VU5FuhE60HklCvg,2400,2006-11-12 23:50:50,14973,9111,10965,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",487,3.22
K2VZMLykxnctDXWgO23lJg,358,2010-05-15 03:33:56,321,88,77,"2011,2012,2013,2014",13,3.4
XcwBT1a_5ZjdaPZTZOhN-Q,528,2011-04-03 09:22:14,571,141,259,"2016,2017,2018,2019,20,20,2021",25,3.86
6UhVJ1QlO1Y-BVMvRyuljg,123,2005-12-09 03:25:04,397,164,215,,12,3.66
3WSgEXBS9SQkLg37rF9G3g,460,2010-02-05 04:50:43,5239,4749,4495,,360,3.7
xl2zFMHnMfHBXe1TNR6i4g,106,2009-08-14 22:49:48,86,17,31,,7,4.19
eAA9CmVmPIRewS7l6l7xbw,80,2010-05-27 15:28:59,130,80,95,"2015,2016",8,4.43
pRfWy61wU9e1nrCVrOEWLA,1543,2008-06-16 01:56:09,2117,1161,941,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",87,3.74
L8PRZYJ-Xpux56ChOAqgZA,647,2008-06-12 03:53:41,469,242,262,"2009,2010,2011,2012,2017,2018,2019,20,20,2021",12,3.92
WWnhqRnWWjutMqh-2SzEuQ,3960,2008-07-09 06:30:28,27139,19038,21826,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",991,4.23
NG2mzp-BFKPsgxy5ofaQUw,529,2008-04-15 19:47:40,872,256,263,"2008,2010",31,3.53
0MeivhX0kZCfV3zMtHtk9Q,897,2009-01-11 04:34:11,3214,1491,1891,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",96,3.71
pTUlF0nvcUOEbg8E_8QWxg,247,2010-11-07 20:47:17,448,144,189,"2011,2014,2015,2017,2018",15,4.03
RFTVBFlgM0cqvl1daywfjQ,465,2007-12-25 05:03:41,354,111,198,"2008,2009,2010,2011,2012,2019,20,20,2021",24,4.08
hysY3Fv38CAoY0q7e-5mUg,175,2009-07-01 17:30:28,349,133,114,,46,3.5100000000000002
zZyvrfNSWk7rYV8Zy3VLvQ,356,2009-11-02 06:15:16,676,398,386,,14,3.75
HFECrzYDpgbS5EmTBtj2zQ,5887,2007-03-28 19:08:35,41470,22226,33884,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",444,3.94
YOw1yg8THktCCioY2q55_A,765,2008-09-21 03:16:05,5221,3680,4104,"2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",140,3.8
NNyr4wknApjc5nF9QOO2Mg,186,2009-08-27 17:14:44,712,200,274,"2011,2012,2013",39,4.32
Zuwoq9rt5kbO48B59QJiRw,108,2008-08-20 16:06:32,163,90,116,"2008,2009",3,4.13
3wq5u6jaZOYzkU2kQOqRwA,189,2006-04-18 22:30:03,359,105,164,"2006,2007,2008,2009",20,3.75
uQOMhO2-70PXChcIq-fN3w,398,2009-03-02 21:36:53,1586,502,795,"2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",72,3.97
FlXBpK_YZxLo27jcMdII1w,1158,2011-02-21 20:33:35,3875,1400,1999,"2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",102,4.02
2-sRIfKT31GFQD0OCnOmwQ,353,2007-08-30 18:56:10,2008,2208,1583,"2008,2009,2010",111,3.31
z3yOJaNdvqzXc6L1RbTl_w,107,2006-12-04 19:03:52,152,42,43,2010,1,3.06
7mzo8uYToyTkdl4kpAsgiQ,109,2011-08-12 00:20:54,68,11,28,2012,2,3.98
ftO6S_Jg_eqXhxa6qGKP8w,115,2009-04-08 22:39:26,253,37,117,"2009,2010,2011",18,4.2
EVaW-GGDEbYrYhgGUmO0DQ,1198,2008-07-17 16:10:13,1330,712,788,,29,3.71
rcU7ysY41qGppbw4pQgjqg,2057,2007-06-30 12:28:20,15998,13038,11514,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",1106,3.87
hOnMliHBDtUZ4qyIE-HJ7Q,50,2010-06-03 17:52:28,27,13,7,,0,3.82
yU9VHS_AuXUKbdrzcoDTNg,150,2009-07-22 07:26:29,958,1290,725,,63,3.94
l1ExDt-skQ7ebpUGZZKgyQ,361,2008-11-22 17:54:41,733,240,173,"2010,2011,2012,2013,2014,2015,2016",21,3.73
o4tYl3Hz0oDfpNn4k02DCw,1708,2010-01-20 16:22:09,23700,13551,19371,"2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",513,4.01
dTiuUeT2c7-JcA_ta3TC7g,87,2008-01-10 07:31:34,64,17,42,,3,3.12
UYUWmXsUynm4sTkwk9siZw,327,2008-03-14 14:41:58,1677,1588,1213,"2008,2009,2010,2011,2012,2013",69,3.88
Sg_BvnTHsbc1AABiJjaiPA,1398,2010-01-06 03:38:24,1688,616,911,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",83,3.45
7WssA6jbxkr1Yk6slHOyDw,287,2007-07-29 07:41:19,372,136,225,"2008,2009,2011,2012",13,3.91
vM14ysC_qD69WI0HwoBMuA,424,2009-02-04 22:13:18,775,273,352,"2009,2010,2011,2012,2013,2014,2015,2016",38,4.0
JiUmz7l4rNz4-YmOj13i9g,808,2007-12-27 18:26:42,3307,1071,1450,"2011,2012,2013,2014,2015,2016,2017,2018",64,3.79
Rh-bm1j5USQTOPTgZHqjtw,80,2011-01-28 16:06:10,196,73,70,,4,4.16
C6LV0p8L6IfBfh1YFRkWzQ,1514,2008-07-16 07:22:27,12963,6192,10183,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",257,3.61
cMoQqT_j_FD1gO6EEZzOIg,1103,2010-04-03 00:49:35,5279,4103,4224,"2013,2014,2015,2016,2017,2018,2019,20,20,2021",184,4.22
fdRGp5Mp2Cbl5JTei-Mibg,1192,2009-10-16 21:57:16,1896,821,830,"2011,2012,2013,2014,2015,2016,2017",59,3.84
g64lOV39xSLRZO0aQQ6DeQ,753,2010-12-01 17:54:30,1696,431,956,"2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",38,3.68
cLpT9ZCzgr7H6BWqDRs2Og,336,2011-01-04 17:42:33,481,193,219,"2011,2012,2013,2014",20,3.92
Hjfbo7zwpCI5CI5OjkGMqw,301,2011-06-27 22:28:20,740,188,297,"2012,2013,2014,2015",12,4.13
AgJxCwwC90WwUOv7g3tiXQ,359,2010-01-28 23:57:15,364,75,110,,11,4.02
IyIsFkVY48JWa01inv-7zA,2904,2008-03-27 14:48:51,8482,3399,6169,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",158,3.72
OF1Dwu3fWeyNzX2ehlyM3A,357,2006-05-23 23:36:22,395,158,124,"2007,2008,2011,2012,2013,2014",18,3.85
tlY0QMQDyfjQAEwHnzvFnw,1819,2008-04-04 19:39:29,3603,1598,2114,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",67,4.05
uaiBkiGlMpiPnn26kM6sHA,95,2007-08-29 20:40:56,89,12,25,,11,3.92
0JO3qopqVuydpUgLBJl8Tg,26,2010-05-24 02:21:32,126,66,270,,3,3.78
BrFSDMl2V85mW9UtbAeUAg,55,2009-11-30 17:48:44,164,31,80,,8,3.82
Q97QCDBnJWDiFUhg8uJcjQ,472,2009-05-26 07:09:02,732,117,153,,30,4.1
2nE0zU6y_F7gkwHi3yL6cQ,596,2011-02-21 21:32:18,1628,1000,1258,"2011,2012,2013",58,4.06
9VJa4yxtnLct0pN_1RcD_w,2235,2005-08-11 18:47:12,6846,2444,3559,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",310,3.73
UwdoumbX2bCuzbfL4AyWHg,481,2007-11-28 06:47:37,729,380,408,"2009,2010,2011,2012,2013,2014",38,3.82
T-EyBBZlGsJD3n7Uc_9VOw,47,2010-07-18 14:24:01,104,25,44,,1,3.9
u5fnrkB6fiQkHUo27rJMrw,422,2009-04-27 01:21:16,2483,1944,1783,"2010,2011,2012,2013,2014,2015,2016,2017",79,4.0
PLCijWEcAk74aiYxHb_tYA,658,2010-04-08 20:42:38,7796,5675,6429,"2011,2012,2013,2014,2015,2016",245,3.74
vScaSrM91Z43ypSR9VfKGg,205,2010-11-04 03:23:05,627,155,294,"2016,2017,2018,2019,20,20,2021",50,3.67
g5qD10shooDJEPjt6miMrw,1141,2007-06-30 21:55:42,3232,1277,2177,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017",105,3.6
oO6VCmISYMtSbuKZpS2UmA,291,2007-11-27 00:46:58,2479,1930,2196,"2010,2011,2012,2014",96,3.83
QRLfoEYRAQyzY2DMnmnCiw,134,2009-08-26 20:04:56,235,85,136,2010,8,3.81
bcHgPhn8sgmgMR-IkmL0Jw,302,2008-11-07 04:32:17,411,119,158,"2009,2010,2011,2012,2013",27,3.81
QiKaFDRKpMBosMF1fxLPZg,17,2009-04-20 19:22:15,39,12,16,,3,4.06
mpDMGJi3TtxZIWWEsbZfyQ,171,2010-11-02 01:45:08,291,96,111,,11,3.48
Vj6waVhIVS-G1LmQphQpww,409,2010-04-11 03:17:47,315,61,80,"2011,2012,2013,2014,2015,2016",18,3.89
00njy47jpw8fW40DOcrEew,769,2010-05-21 22:56:03,409,50,146,"2016,2017,2018,2019,20,20,2021",19,3.7600000000000002
dheeM9UTMy9HyBWHh1ePQA,379,2007-02-04 03:35:45,354,107,193,"2007,2008,2009,2010",12,3.26
hDsxdlsFEDETR-c1YwYHsg,32,2011-05-05 00:29:52,47,4,17,2012,6,4.06
YOChRzTztTL_KooP9wEtSQ,365,2010-01-07 06:13:25,1276,498,640,"2011,2012,2013,2014,2015,2016,2017,2018,20,20,2021",50,3.5100000000000002
VH7nJ2DdP5onNpSUWy0lRw,689,2009-11-05 19:20:28,1006,342,469,"2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",44,3.73
SsgDGJWBNvefjY0z8XsVCQ,2349,2009-05-16 15:02:16,9387,5636,7960,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",181,4.2
ZuFdMRa9PqJ9ZE7MpueXKg,215,2009-08-27 19:50:03,243,69,83,"2010,2011",5,3.84
NojIZ1w3kdXlmpqseBIGzA,374,2009-09-09 04:04:04,1349,651,517,"2010,2011,2012,2013,2014,2015,2016",37,3.63
W-5VHawa-mOe9fbnAeTK4A,30,2011-07-28 00:18:12,13,3,7,,1,3.52
1AXZge9JRr3x-DWE6Fg_kQ,100,2011-09-22 14:40:39,107,24,20,,5,3.44
141jd-Tt6--RIr9OcJOu5g,648,2009-11-20 22:23:18,4003,2542,3212,"2014,2015,2016,2017,2018,2019,20,20,2021",87,3.81
O8RYLkWNmZYr2HgKWsmwiQ,899,2008-12-28 03:16:12,6285,4905,5178,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",106,4.17
e8ctA42_X95wLlrf09YZQg,710,2010-01-17 19:32:24,2070,1028,917,"2011,2012,2013,2014,2015,2016,2017",83,3.66
UJcXryv3GnXik-dauejBdQ,859,2006-09-02 23:01:58,2442,422,1550,"2006,2007,2008,2009,2010,2011,2012",76,3.89
73kIryVqqekf3-mlBd4ocQ,160,2010-12-23 00:01:27,431,97,229,"2011,2013,2014,2015,2016,2017,2018",25,3.8
kKTcYPz47sCDH1_ylnE4ZQ,2595,2010-09-26 23:14:37,6142,3488,3725,"2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",231,4.04
M5CDadStKmQxLJPTBGBf0Q,488,2011-08-18 02:41:37,895,496,722,"2017,2018,2019,20,20,2021",47,4.01
NOKGADhE0dtzEbpbIhGowA,1004,2008-07-17 19:20:54,2218,702,674,"2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",95,3.46
35mXkhi8kwCovEaPLpEwQQ,547,2008-11-09 15:06:27,2433,168,822,,46,3.71
Wxd-EKF2Z4RHZUmwQ6Eeew,1405,2008-02-15 16:05:59,4294,1870,2154,"2009,2010,2011,2012,2013,2014,2015,2016",129,3.56
h0Jn9rkacf3tGw5BeZMHWA,185,2009-03-24 22:44:15,784,276,342,"2011,2012",16,3.49
iZpzJ9k4dDgBjuC27MbjvQ,344,2011-01-05 20:46:28,1638,713,1034,"2011,2012,2013,2014,2015",27,4.13
JR21JoKCbloLGz9YR5bEMg,57,2006-10-30 06:45:30,61,17,15,,4,3.32
gReqm4q-A-vfsAgicBsbtA,923,2008-05-09 16:33:42,1909,866,1219,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",63,3.54
A6hvYV_VP5Kn95rW0pvEgw,245,2010-06-11 18:10:33,331,78,110,"2015,2016,2017,2018,2019,20,20,2021",18,4.2
WemGCV_W1l2rZM94Q44daA,15,2011-02-04 17:38:54,24,11,3,,4,3.44
yZ4a4YFJfQstfkXAsRbjRw,251,2009-07-19 23:36:46,167,35,86,"2013,2014,2021",11,4.31
fQcfRZkcOO-MXFYD5umf2w,1649,2008-03-04 04:19:04,2241,769,1067,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",90,3.38
yvgE0bKa3ikEnXiN3MLJDw,271,2008-01-20 19:08:49,727,172,232,"2010,2011,2012,2013,2014,2015,2016",22,3.8
6FfMX10PhzLB5hQWiMlsPQ,66,2009-11-10 15:56:11,112,22,27,,1,3.75
gGuAM6Cw1VXJGLssm24ehA,824,2009-03-04 14:41:44,2015,594,760,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",99,3.27
Sp-S4y8rx1xIX3d5VOK0bQ,740,2007-05-15 19:28:21,2235,1560,1791,"2007,2008,2009,2010,2011,2012,2013,2014",71,3.79
Bi-UaRN-xRmEGYu-3k0jqA,308,2009-03-20 14:16:23,547,270,172,"2010,2011,2012",11,3.55
hzmTQMkTGTUQ-aRdKAcUzA,1909,2008-11-18 01:03:42,7674,4283,5583,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",184,4.05
-VOylYXNq7sG6As966yTxA,1478,2008-07-21 01:10:58,12467,6403,9535,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",259,3.47
xxL-DwwdT5VGvss9mCzOGg,1888,2012-06-03 11:17:06,9232,4187,6339,"2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",307,3.82
o5STsEtfvD1Ig0J7Z-1uxA,2469,2009-06-15 22:35:02,40034,19427,32200,"2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",1532,4.17
HwL0cUMC7-qghiAKBzMpXg,332,2011-02-21 17:24:57,637,177,241,"2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",26,4.02
HuoP7ejN-LSwkO1UIgmtaw,342,2008-04-20 16:55:31,838,290,424,"2010,2011,2012,2013,2014",29,3.86
KxhblxFFda2qHGv-aHdG4g,462,2009-11-30 18:44:09,957,311,337,"2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",38,3.54
Xw7ZjaGfr0WNVt6s_5KZfA,2272,2010-12-22 09:41:56,15105,6729,9532,"2011,2012,2013,2014,2015,2016",379,4.1
Cwifb76r61Ju2w8L8OX0Kw,134,2010-07-14 18:32:04,195,65,79,"2010,2011",17,3.72
