photo_id,business_id,caption,label
pl9rU8KDhjZ2i2-hCAniIg,1klQuTKmJr-eMQPuFaQ5fg,Sitting area,inside
qF-srWPJ5Usr4IGEK9DO1A,if57kE6_VfR1nI1X93oHEA,Panne Chicken Linguine,food
M3EWmdsWiYbOdGjsRFT5wQ,5OK71bsZ3UndLeTXUE5mKw,Cartelized shrimps and white bean.,food
rRQ1hXqnTVDHZx5LtJVPYw,lNXAV6t34fqAdGa3MrDxkg,during 2011 Jazz Fest,inside
UKiGzYYPICi8BIOD2cVvnA,gLaxSkjWzt25hybkaKwQcA,Dining area,inside
fDnyd1B_bMpIMW2eNiODnQ,FEXhWNCMkv22qG04E83Qjg,,food
gzXxP_T4JUZE2zMzaoUJYA,_LgI5387qAmMuS8i6h69cg,,food
FMivDc9bpWEKpYNaXSQEZQ,w4nHq_elJwPpI4iZ6ro3JQ,,inside
NuLoAlxvsskjkrieQ_MhpQ,ChlcxTEoWBQJXJ2Xb2vm5g,These two guys were the best and they made our dinner experience so much more fun! We truly had a fantastic dinner!!,outside
LQ-i428Tq64h3L1jc2OoDg,ku8cAVBLaF_4rI-yK6gNnQ,,inside
9n5RobGsibyp8IriSszsSQ,htx6Uime2SkiE-zC7hxb-g,,menu
Y3pe-iKMJ26oE7laHlAWwA,SvB4Z0pan7IKy0IrfNw2rQ,"Crawfish pie, shrimp and crawfish",food
cklpUVFnNF4WxE4yMCRyZw,swVdc9piXvG0AXwL-F0GfQ,Happy hour menu,menu
hWBxGYH2Zd5gDA3OKSy5MA,qb28j-FNX1_6xm7u372TZA,,food
3LE7AMx5f8GfbqkztYYPOQ,xZileQFJ7h-0QKjtGc9xgg,Strawberries Arnaud,food
BQeOWpldlOM-BbTatUmE9g,jQPg8OKiSVa-fwvd-XGzLQ,,food
CDmbMgQvAuyXcR3xiLCjoA,ALjOBKvlyT-lcLFihD4P8g,,food
Q7GlqT-QK2vKzrCTlg-P_w,Y2Pfil51rNvTd_lFHwzb_g,Nice outdoor seating(with a guard cat),food
1yX_E6J_5L-fsApQcbAyLw,dfqIU-iEqKh1Id8p3gDO5g,Meat pie & 2 white chicken pieces (meat pie is a must),food
HLl-seC5RJ2kGp_SEZdKvA,8g4lWyEEz4sZaPU3Y4LGww,,inside
MG-9Qu4DLqmpXo-HSiGRew,_ab50qdWOk0DdB6XOrBitw,Fried Peacemaker Po-boy (15.49),food
wvuMavf_TIZeMmWgVZhq2Q,WAnrBuLWBVM6Uk5sYAmBIA,Outside,outside
iQXz2NYuejtwRSvkv3bLVw,XeLAOIv2Ky1wyzIjoTa3Mg,Pour over of Ecuador by Switchback,drink
an6CmXpHX-cXWSoZlByjzw,mRpk0A4u0hnF0lNe1h4hGg,,food
MJ6igBJYUpLjHBnUGM5vyQ,Cbktlvci_z4HwdqPUW-5cg,,food
vthHs8vc9C-f-Aixh1FB8Q,FzU5a6v8jhFP2-tj2tXBMQ,,inside
CYu2pHxjuYyN2n9vJQn3eg,Trbe4JX-oLHrrVVPcv0wog,Jazz Brunch on a beautiful Sunday afternoon. Celebrating our anniversary with good friends.,inside
HzU-OxV-06DYnkkYMiUqIg,FEXhWNCMkv22qG04E83Qjg,Cafe,inside
x4Uiwq1E5r8181hE9wNMZQ,OI2J5UsaCSD1xFnY0psJ2w,Strawberry Perfection. The incendiary-er the better.,drink
CrWJZgpulQKbG-Zm0be8jQ,vKBQmHjx5K9cYoGqWLyBhQ,,food
eNlLx7-cVm5GhPyLripQAw,BHnCAV4_hgqgNZGdfXNJkA,Dinner #2. Get the crawfish. And the pork hocks. And the crab. And the corn.,food
ukQY-rcV4bHTNXZFcq0I-w,EBonJ5tjkxBEUezwosVlLg,,menu
qmkDwwa5gu5Vo-PVaWCGaw,gTC8IQ_i8zXytWSly3Ttvg,,food
n6kWK0RV4pVOl-0shBE35Q,U2fN80Q-QOudDt5V-qjIlw,Dry Aging Refrigerator,inside
t_Mf2PYxuH4LPvvomYehxg,-1XSzguS6XLN-V6MVZMg2A,,inside
--zScnI03KioBVMtcOK6oQ,V9VLhHdSFpFi4yXFqVcVEA,Louisiana area 3. Queen bess. And Alabama turtleback,food
tU3VXqNOEDD1GSMC7ngx_g,Trbe4JX-oLHrrVVPcv0wog,Pork Loin,food
SuIZ_-76s7w4UItakmy0dw,FlDkxuO6MGrW7x1OJTtJew,,inside
zPdvl0kMEJVTMoIy9ou1KA,fHYu0otyReBOVXb1WI_YIg,,inside
89UqPynIentKK2pQeS3T8w,k1-3XZUKemdtDPeej9KI7A,,inside
gJkJzZiKPz8V-n0iY2L3WQ,qb28j-FNX1_6xm7u372TZA,Seafood Okra Gumbo (Cup),food
K-9meEDK21m9Oxkwr9B1WQ,OIbh0ZOemmphJR4Att3E6A,Halva,food
xyxRQO3R4nKKUsNIx5RKzQ,iC12uB5WlrarJg55hVqieg,,drink
cOApXKT-Jtl_Fn2BCgi9Jw,Zi-F-YvyVOK0k5QD7lrLOg,,food
fmoyZJGY8sCPm81UuoY9bg,98mYebjHN_VXZapVm8Nmqg,Salmon and roasted veggies.,food
0zLY5kNpmg1FAxKQZ2L9HA,VQcCL9PiNL_wkGf-uF3fjg,,food
uhpb-wJkwxjuvueqigCMEg,ac1AeYqs8Z4_e2X5M3if2A,,inside
WNNj8bxLMk7aKIFVTqs58Q,-s6EMVPCBrsocFDuiMMqxQ,,inside
kX4trYNaiRxsFJcEDY0g4w,ac1AeYqs8Z4_e2X5M3if2A,Dining area,outside
zFD4SZB_EnKevA89GDw9uQ,yexVj09OH5n_X-MT_Lq5rg,,food
svcEHd0CN-Rfhxm6o-s_qQ,4LrEs997FOYEGmmBUUeqRA,Hamburguesa Torta,food
eV2G7z9L0ozefj3xk528XA,H5KRna9A6mDQEJ2ZN0zL6g,Chocolate profiterole,food
6Aksi6ZeUV3SSv5HNAtxgA,XkQadWW9bUR855KvPZBNUw,,inside
XHP2zF4SGxXQZWMCd76zNw,AZJpX5slpbZUTU9INbwu0g,,inside
gUlJhjms3KfkYMdatHs-yQ,UGefDZNmnBztS0eoXWtHyQ,Great dining on the patio,inside
iTetfVP3NobIqmrjFF0f5Q,v77_hh7gsbpSpjlzSKeq5w,BABES at One Eyed Jacks,outside
Ms0frJ_xZNKuNSklhyHpXA,9MWtHrYUrEJkAJ06gAdp1A,Oh the state bird,outside
No0EexwKZLw6CWXjx0yE8g,fpi78UyYCZ-RSoibWc-NDg,Vegan Taco Platter Dinner,food
XefgZ3ooip9LW9n4Dk5VAA,OPW8NuOC_9FVFXsaHOO5JA,Monte Cristo,food
ImJl5NtsGKMero5KGIY7-w,ku8cAVBLaF_4rI-yK6gNnQ,Bar section,inside
5TSMSpNkWOcOpUpsfJcdaQ,8cAukVubDMi10NTrkXMGKg,"Black bean burger with fries, DELICIOUS!",food
vQ8k3ElYyVOAyYPubMHqKw,X7W01ESZV0UybJ859ZnWRQ,,food
4_BsE22B1-5EcwlaB6OrAQ,OAjof8dhS2zScmZh2Xuo1A,Salad bar,food
UQWEbSQJBTxXb8wal5mBhw,hdsSqJ6XotB8LUyWjM0LKQ,Vegan sushirrito I built,food
UxEpFsUj7JwJSyk9-0--4w,3db1R99-mdSvx3QwryJSNQ,Chocolate pecan pie a la mode. Delicious!,food
RsW5i8Fp3a4l3sFHSKcHjg,I6L0Zxi5Ww0zEWSAVgngeQ,,drink
oDWP0uyQtpCTsOYNQ1txLA,FNsMxoaTa-HCbAxP0Baj9Q,,food
xMpGLREMn7qDowa-2p_nNg,Xjp2aV-s4peSgr7rKOftFQ,"Adelaide Event Room, available for private parties",inside
qATlH6q8MxB4IaTAKSP2nA,ga7jZd-JccpMqdSTgY2lUA,Pork knuckles,food
xmGOrnF4jnQ_LIDX-29nOw,qclZoDz3sjT7v5xOSj5P2Q,,outside
Ao2tMACVxX2ArKeR39vxTA,pz9NQ_ItX1Vsy-vbSJuf_w,"Ordered @ 1a, made it to the hotel in under an hour. Arrived HOT & Delicious!!! The Ranch Dipping Sauce was homemade too. A+++",food
B-jPcA5S8VuseoF13Z53Sg,Y1FU2s1OytJGdXksraIGFw,Everyone at this table loved the food here at Wayfare!,inside
mZPSRA5K4_NZBYDdOOi7Xg,YUDcLokFMZOtyWAmVY3jwA,Loaded Twice Baked Mash,food
y3nGjDZ0KpG6sltHpDoR8g,NHdE_ObFj7OjQBB3jjqBNQ,Lula's Mardi Graus parade hangout.  My first Mardi Graus!,inside
iawYFpCV1D7Zl7BcE1I11w,JvawJ9bSr22xn4R9oLvl_w,Dozen Raw,food
0ltQFHUIWrSQnXCB7x5B5A,sXSUzImYOcRRI3xtG2M85g,,inside
nhvGvLxXGP9NOtZ_nI5rFg,GBTPC53ZrG1ZBY3DT8Mbcw,,food
CvN-NyOCFJa-9uN--VX8WA,EagkHaaC-kUozD3MPzbRIw,,food
s0F5S45x5In2fKqaynZ5Ww,lZ88MntSXZXDvpZAcXgiAg,Honey and Macdamien Nut Velvet Ice,drink
fCxfbS11rnaqxVjBElpeXA,J5wx3AY-jkOqt4sTDq2uGQ,,inside
79PEoBWjxBLT-2PBwc40-w,iMPv0HqHFbBYs2lEW4_Acw,Shrimp and grits,food
aaqSozaetRhz-OZPd3xONg,jar_5KMQZtgOseRdUN3L0w,Macarons!,food
j4WSMPwn5VESWkUw-aU_fw,6dMQTOH8Efl6m2eJRgIjCw,Dinning area,inside
HaPwBBriIz9M3RNLLOF4Ug,0uxg3_noVCE78Wgjb8DSyA,,food
sgddccB5hDucQ7CyC6198Q,_ab50qdWOk0DdB6XOrBitw,Half Po - boy & Cup Of Soup Or Gumbo Shrimp po' boy with chicken & sausage gumbo PLENTY of food,food
5xYX7HFiDZoUbBaMGjywxg,VfgEzpaIHpq4sR2s2P6o5w,,inside
0ZcIxzqNIuGX3bEQrjlq1g,95tAFc8hVfzVr0uRJuDbaw,Junior's busted loose Scampering 'round Walmart aisles I was here Bitches!  #NOLA_Haiku #Walmart #JailBreak #BornToRun #ChefMenteur,inside
y0f8UN1OIOz3FQHJpZBNSA,Ssur8TPCIZWnZeCDQ9avQQ,,outside
JIAUUqLZ-mcvAnPIcdnhMA,WzEzUDTWr4UQSQykujMwyg,The Calypso out on the balcony,drink
dndvH3XTSSEeY5OZPVjcZQ,sCNdu_Anatq1BKuXD86A8A,Voodoo Juice from The Crazy Lobster,outside
b9hr0mM3tL4t_i_XX0-g7g,eKgtzwzbLR44fqevm6yUSQ,Window alcove seating area.,inside
_u1Bb8uFdHvuMIujh2VIJg,aYTy7BprrbZ2uvsqPHanZg,This pork chop though!,food
nwbBHkWUwumSBcJfOCY0Mg,0bFgBWMmCTXwGT932s6z2A,,drink
WaimJ_pR6bEGMv-VUqXWTw,Ssur8TPCIZWnZeCDQ9avQQ,Shrimp Enbrochette,food
czRbJW-_LY5j250ECOHe2Q,fmWgbWRcbJw-yRCK3USnvA,,food
WXYPxxRhPxbv42BdgGIl1A,gTC8IQ_i8zXytWSly3Ttvg,,inside
X30iKUTq-HaABhdrcK0kEA,e5fCI12X_GLCST668S4ROA,,outside
X4QH4jZm8Btha8t4iYkZyw,VQcCL9PiNL_wkGf-uF3fjg,Balcony view,outside
C7rJXnJd_pLBIkXFWyEqjA,Tf_Oj8uWRvXmqkEmntzTdA,"Scallop Tartare with Pickled Butternut Squash, Yogurt & Crispy Sweet Potato",food
aSIlSxHFmlBIIUVWrsCC0A,tyfAxYsomnzygfyeZxbL_Q,,outside
Nr8lNXO11Bpb9Y5bHZJbtw,RvTHIKHaPVVp8S9cihpi5w,,inside
Fuavws-gCdPzEqNIlUpVag,g7uv5VJ645cCh0ofch6KTQ,,food
DD5m2K3qFmRbDqAbpOn8DA,ZLrqw4KCwKyBlVqycUfNbg,,food
Lf3rp81AE8-ubfpWamVoKg,uR7G8I4Cef9D9R340TN24Q,,food
Y9Jv5MqbZoNH97nqcAQVyg,7fSehNL4pBJ26FOeLqPj1g,,food
YVkvpBgGc-jaT9eyvde7qw,_-otZU2dbPrEZyaVSMmvDg,Courtyard in the back :-),inside
3ij5QrUGn65LRmtumU92Bg,mAgjr6kjRqCFk8JWPvobuw,This brother got soul!,inside
lbog9mdCmdRra1D_9UrJLw,7CRox7xpb3vNCEe7FZ6zgA,Cutest place!,inside
sIJEFxAf37iB1Qk2TdTtaw,fIBMKVl-dyb3KyM11UBJPQ,Down the Hatch,drink
1HxprunLvv_i77Yve166lg,e-fXMT8R3j7BKMTh8xn8aw,Small n Quait,inside
1t36q9_yBE35-Jr5Tc6YUg,gTC8IQ_i8zXytWSly3Ttvg,,inside
oRCvUm4FyW16by6cafQ4Yg,Q1hBOIqr_p6MRnMLawz6cA,Citrus Skinny Margarita,drink
PgCTo4H_yjosShW-D6B16A,Xh08NmHdB86LexgXrIxr2Q,Catfish sandwich and amazing Mac n cheese!!!,food
ZJROCViopdw2JJsGTPIjlg,uL4jKuA41fQ-AUFBUUcrww,Roasted eggplant casserole,food
TibYVpO5ieU4qdsHFuImKg,dhpJibgYRM_0cGqvynrQeg,,inside
PaEvKLE8d2pLewCQGc8gKQ,FlyfDPS41F8R9f5KHA8g2Q,,inside
tSPlz1jjbNZ84Xakl32qUw,QVGHZ_gV-0fO8GeHnNK17A,,inside
FarxSEeGUEoBzsEATje_zg,ZY2feSm2sc5nTXYHnKpMGQ,Happy Hour is 4-6pm Monda-Friday!,drink
kf37UvfA6XTMV3xD3VD5_g,6a4gLLFSgr-Q6CZXDLzBGQ,,outside
Wc8wPL2xwPj7y1MHvGpXvQ,fKAxmycMFwO9qWVUAOQzOw,My daughter and I enjoy G's Pizza as it tastes so good - her half is the cheese side :),food
TE-OGDe7N9oF73F9OaVvlg,8JEVqaKFy6BNsNIhCnnAmA,,outside
EjqX06gDScWNNifonwGGjA,6Y61FisC5lEVxLEaMzyUUQ,Cherry Blossom roll,food
QJ6KJOdiHbZacJ7qBTwqLw,Qkiz7nFYML7sJBFPO7pNaw,Salmon and Grits,food
pvGBisnZMH6ZYcEA-8hDtg,Zi-F-YvyVOK0k5QD7lrLOg,,inside
c8sbR8rfHbF3hzsHzEo3tg,Dd5Spj9DJiXydAy9N3mM5g,,food
-eaZAODxMdqyohMWX8q5aw,8uF-bhJFgT4Tn6DTb27viA,Perfect balance of sweetness! Best donuts!,food
NqpLGnmEypRSTxf-gQbiYw,9HvjjSwxxubIhG6E_sObfQ,,inside
J_RvPZ8xgQcvl0tKhHu7kA,XhGLpXHdnA481n0aHDdkpQ,,inside
XNYEHEXhOC722pOVqrhyBw,ac1AeYqs8Z4_e2X5M3if2A,Sazarac,drink
5NmbYjnTG5sklg3TcpmkSw,XnQ84ylyAZwh-XfHGGNBbQ,Mike and I back at Coop's Place!!,inside
h8qXiB4HH217Xyg0Ujd9PQ,6Ty-KKWq6hLZYW8DWEHYvg,The infamous Hurricane,food
k2c835pDIYRM3_o4ahKyNQ,R9TBf8VqGQ83kvdIxkC9RQ,,outside
Yo6Hp6DTKXWDc7z7AZ8ubg,HhD8DLES5ZeULKDXmfkOOg,Pour your own taps at the table,inside
-124H3p_9ThP3gNIWeCosQ,TdyHRkxn334JxtUSdGpIiw,Mural on the back room,inside
h9XTasy9p4zcWGKi-mVvPw,g04aAvgol7IW8buqSbT4xA,Amazing breakfast and such a great friendly service (as you can see in the picture). Thank you!,inside
LSpuYbbx4SSQAvF9DOAO6Q,FCCnOgjjvwQJBAy3u2fcLA,Inside,inside
zZWM8U3OA4a1XfJYB0h3gw,gTC8IQ_i8zXytWSly3Ttvg,Gambino with House Meats + Herb Vinaigrette,food
y67Hcqero7TIN4CO-lu70Q,CG1Bb2MTraJYTHCPFm72XA,Soups to warm you up!,food
bhJeyATEMEInd8SJMiVxqA,oe-iacnzvyHV8zxaNqCf7A,Chargrilled Oysters,food
LmBwHTZ9ZoLYMdByft84sQ,aROhaLh-dqtt-h6BG-gn2w,,food
PCupVy1J8TjyUDD-bWmZ1A,3nYIq4THGUOgQCAF-mkd7w,,inside
HMId4gsOxdZZMc5J6Y4-HA,QQPX7PodskbBcMl2Dwm3Sw,,drink
wA8vqGlsfFo0WL71vZEB8A,hfbZ97Te3T4jeWN6GgsGrQ,Summer Hash,food
LMnG_rX6C5mRWCx4QgWfDw,FEXhWNCMkv22qG04E83Qjg,,food
MbFTGz943wd62g8xkSgRmw,M-6AXSgmDMYcWsF442mzzA,Outside,outside
UGpMMYDwr0GP3xuxZXRBKg,Trbe4JX-oLHrrVVPcv0wog,Shrimp and Crab Benedict,food
879lVxzDt8KUnqm1_eb2PQ,6a4gLLFSgr-Q6CZXDLzBGQ,"Fried Alligator, nicely spiced :)",food
GnIIicadT6QvNxz4aWT-5Q,6Y61FisC5lEVxLEaMzyUUQ,Crawfish Roll,food
gfWKP65ZB_3l5a_wR5TxaA,i6YvzoCYT6vCxBxqD7nR-g,One of the best Aviations I have ever had.,drink
3AYd-wbbMdWUf9tev8QCnQ,FxyGTyC98dVsVMhPiHXyOQ,,outside
7lcxYhdeiUfemJtT9a_1jg,otlORLZ8uZM3_orBFl2z7w,Delicious daiquiri in an awesome goblet,drink
YGTPMq40nuk0tpVNQR4wAQ,75FY8ZQx5nOWP0VFmNvWfw,This is probably the one thousandth picture of the shrimp and grits,food
euKd_2dCAJE54-okH4zslA,GoGss2SqsUPwP0xcI9IUuw,Ttny macaroons - delicious!,food
uqF5GpKGHey8WUYCV7cGbQ,DH_aRlDhnzsJTh1ffWwt_Q,Avocado Salad,food
MK8DQW_Z700zoM0gaTi_3w,kRG2ZrCT5RvwD2tajVnpjA,,inside
tihH8axRQ4TZNEeH-0GUVg,tJhIqLwZnbBl5FKIChEIQA,"""Private"" table",inside
4MnOYUdcfqZF2PxVkLscaw,gnXN6LuSC3IoMCOtRl8sQw,"Darling Nikki: Fried Eggplant, Sautéed Onion., Roasted Red Pepper, Cabbage and Caraway Seed, Melted Horseradish Cheddar on Toasted Rye",food
ef-ZAQAX2vo2JC0VbupJ6A,ta5Oi3sezvn4H299MbtE8Q,,drink
qeRE66mxCQ7JcbIRpYY_Hw,W7Lkjxnd189PpBYJniF9Ig,Shrimp salad with basil vinaigrette,food
VlHeb-Ic3iiQGR0BuvTUhQ,0wZJkj-OnZ7Pmublspl7tA,,food
lyvQ3W39ZXb8stmY376XrQ,FyDQ8QKKjmBKagZ2GhNb8Q,Pour over.,drink
bnWobMKcq9PSIMKLpGZW0g,VQcCL9PiNL_wkGf-uF3fjg,,food
eZomz_FeClyFwnQBCLfg5A,QQPX7PodskbBcMl2Dwm3Sw,Taylor-Larson wedding,food
2yru-JvAHwHGfp-pTuuAJg,nm95sB96pSpWEh3GWvwOQg,I come here to escape crowds and use bathrooms. That's what I call lucky. Thanks Pierre,inside
MqJEylEyZNmP01IEt2gEsA,PcAMh9bjVHVB2dscm1F4FQ,,inside
eqR8CQJOyJDlkR7CUCjWfA,rvF-BwyaCHeb30u3Xf7FbQ,,inside
i2i1Z2m4Z4bD6hmZv0Ut2A,EagkHaaC-kUozD3MPzbRIw,,inside
kcYoZ_W-Fe1cfy0aLGBgWQ,ecI3FBTM0f99Fnml3kNKfg,Main Dining Room,inside
8b3WVunuieT4SjfYXI8KqQ,FEXhWNCMkv22qG04E83Qjg,,inside
gRTxOunM7-wqcU3XBfrScg,WzEzUDTWr4UQSQykujMwyg,"Foie Gras:  Roasted caraway ""gravel"", with blueberry bourbon balsamic and pickled blueberries",food
xtZBhrbg5SZD8DtyCMsnuA,rAMlyZQe5eFrdLRVQfY4ZQ,The Reuben,food
fI4fXJZBYO2itBGl9o-U7w,Bj7DL3SwmYHZYqPduAsa2w,Shrimp po boy,food
bCBpSMkdnuQo8782XblRog,YrCOY3MmbmLKRJLblmSEgw,,inside
Qvho_fR1gvMYj12kD-DBbA,iwmW2mgcn2YdirXUHCsgXQ,New Bourbon House Bar at the Historical New Orleans Bourbon Society,inside
arvh0BONQ6pyqx98zVTk7A,u537LRjJmHI4eqMARsP9ng,,inside
G5VmHppICYOeJcqFnueP8Q,dGeXdSMah56gEHwZNaRQKA,Flying Enchiladas,food
6tt6F2E2nmYZD7KBox-Zkg,ChlcxTEoWBQJXJ2Xb2vm5g,braised pork shank,food
ZAAkTPhVMt4rqkYMGaMoZA,VQcCL9PiNL_wkGf-uF3fjg,,outside
v8Z6UTMhcgAo7vod0pwZ7A,wtwDcp79klLOLaIjCFHQCA,Chicken lasooni,food
3gPlYVIwsWp2C3QeOOxDXQ,Exh1uNhTSDR1hGivZBIylA,Management kindly honored our request to move to a quieter corner of the restaurant,inside
QaOrPrGjF9pWjie7dBVzmQ,k82r04xQpJ7u9Db_aHRJpQ,Clean bathroom,inside
OCtqH6tvRMmdAFfPe-swqw,-y05MW4mCci-eSv2yJkzzQ,,food
tk4Z6hT1jjNK4US23Jc_Og,xfY46Z-nBtX6sZQLxrdxhQ,,food
GR1B4qb0GoAakGgWSuEFAw,rAMlyZQe5eFrdLRVQfY4ZQ,The Gotham Knight,food
ndtQICaQBTENkE_nt8NlMg,b0zp6rgcv7ZcjToRoVhcmQ,Lovely ambiance,inside
p3H8p1Fov82QU5iNeVXn9g,iSRTaT9WngzB8JJ2YKJUig,Combination Platter,food
8Fg7B7ZLF237vHRyRTZ1hQ,al3Ri6TEqa2rBzjHsn0T_g,nice wall...,inside
hDothcutNnse3pkxi1KSVA,nihvarTktbLi1CI_Dkep4Q,,food
RNCWC9Pb5bSyH9Aj1ydSvg,oFbwMxqaCJfIzAEmwaXD3Q,,inside
52Wh0XquNukHD5uCLD90ow,oBNrLz4EDhiscSlbOl8uAw,Migas,food
4Aa81pbUtag_s4D4FAoG5w,UeYZgcORV2Veo_BZzdiaTg,Bar area near entrance,inside
5RwzC97gH9ca89x3k31XQg,_C7QiQQc47AOEv4PE3Kong,,food
InMB6sF27Zr5fNJlPVRAtw,p8pnCX2Z5aJ1C7TnSvyaNQ,Local craft beer,drink
dwtC6L7bE-IsxqWUF116uA,W73MZDetxHWJ3pkq36OpEA,super dragon roll,food
gi8-O1GhLdjKBIiHzYpATA,24YT8pH4s8fX2kUzFibYIQ,Slash roll,food
zJRgjBDrozo9r8UE1_655Q,ETIyqDHJtwX3YUChlLAYtg,,food
e_1y6DUBli6c7lRAVoMVBg,VQcCL9PiNL_wkGf-uF3fjg,,food
Ap6pA-rZkp5JoYxqiEi4XQ,HhD8DLES5ZeULKDXmfkOOg,,food
nVWFnF0RswYb0Te8rDyvFw,FEXhWNCMkv22qG04E83Qjg,,inside
u44cHZxBHzFG0PdYfnxx0g,2r3-fBAvSsljWrDLXkiHiw,,food
5N-F5yAoLDVvmED8gLh2Aw,GBTPC53ZrG1ZBY3DT8Mbcw,Lüke Burger,food
nxMiUKqVtBhor5xm6Uj9rA,aH3xlewNKQk5K4mEko6qQQ,,food
aLPgyqfUlKm_ek3pczFgNw,iJepNTdQh-vOBoIzmx-Kmg,Drinks and snacks at Cure,food
n7O_H1tNHU55ZP6Jqvmg6A,RloVMlIr8kP8Sn609loBTg,Live Entertainment sounds good tonite,inside
-yYN8kkrPYG1cGIZewZbXw,_ab50qdWOk0DdB6XOrBitw,Inside,inside
fvpHmJ-PLXvI_Uqax5bJsg,7kHvPCBSmRgzDgjO9xXT1g,...swing,inside
G5G4GbnmovFSdvdC3PoFHw,_C7QiQQc47AOEv4PE3Kong,Fish Cast Iron Seared Gulf Fish,food
9aoiLlCIKYrU2wEGM8mc9w,Ra9zH1CBYtAC6vMfKYsHew,View,outside
gehgjPZcBH7HZ3K-WaxIEQ,sJz2WhvVGW8jsdQhZ_BlUQ,,inside
CRIXGI7nlF-O35GBofIZSQ,dHaml_FHbs_wSyl6vvKpxw,Blueberry Muffin Photo Credit: Randy Schmidt,food
cCDfwO-53YyEj4ysywZQ3w,FlDkxuO6MGrW7x1OJTtJew,Pork jerky,food
jFCnwKP0XVadswgx_4m5DA,VaO-VW3e1kARkU9bP1E7Fw,Char grilled oysters!,food
tzLDQm-r-vZdczd8q7E0Sg,oYF96W1boB-0E3g3i8U_zw,,food
IhfNzqhFHW35S5NtxpMvxg,PUR8xK74Js5oAvsarFkHDA,,outside
JDx88_cUs4pNVD9IT0-ujg,_C7QiQQc47AOEv4PE3Kong,,inside
hjG7OWB1ETUChhpgYCwNIQ,wjZwXKDiFBQXlO8-TjQTXA,Pimms Cup $10,drink
2IKVKuy6QxUWrPzAzfw6pA,kRG2ZrCT5RvwD2tajVnpjA,Courtyard pics... no inside pics allowed.,inside
H5E9rJqBF3cR09Byhq-ucQ,PGd06nrseC2YAIqP6S9gUA,"Costa Rican - Two eggs on rice and beans, with salsa, avocado, and fried plantain chips",food
Vo4mC2oMOzJtRYH7jv340g,GSOLNXG5-IPvNj0DPf3kOQ,,food
7bHxF-zqi11MkASsmanNbg,PJtI7vmojLrIH1qvFrFZkg,,inside
Ax2dL6vC92zDSc0wCa6ZDQ,iSRTaT9WngzB8JJ2YKJUig,,inside
ZUScMeXLji2lP3jyegmREw,qclZoDz3sjT7v5xOSj5P2Q,A Lady's Voodoo Daiquiri,drink
e4wHTPEwctc7f9cr_knhdw,TcNZXteosegb1RO4O5hREw,,outside
aAghONNEHcqTpZYscCMvrw,uyfOQql0ZGMG4WEIwUeeEQ,Nachos,food
ICfjYorI7-SBXD_eMBxdVQ,6NpEFQgyQVBfwXNkSuLf0A,,inside
j5P_vcRDJRjIaxFjj7MXXA,OjXIRs2Gm4H6hWo4bC7Qvg,Friday night easy listening,inside
56Za2lRcGZpft_2QNKu16Q,nB7LcJIvZr-EbJj4oFZf-A,,menu
YUOh20FuFyvBXFydua-SDQ,5fswwcileaIhs4KNRXPQvg,,food
